sample_id,label,sample_type,data_pedigree,source,event_date,state,latitude,longitude,trigger,fatalities,dem_source,rainfall_source,soil_source,landcover_source,original_source_fields,elevation_m,slope_deg,aspect_deg,rainfall_24h_mm,rainfall_72h_mm,rainfall_surround_max_mm,soil_clay_pct,soil_sand_pct,soil_silt_pct,soil_bulk_density,soil_ph,soil_organic_carbon,lc_tree_cover,lc_builtup,saturation_pct,cohesion_kpa
GLC-REAL-5552,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-09-24,Manipur,25.0985,94.3619,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Ukhrul, Manipur', 'source_name': 'www.morungexpress.com', 'source_link': 'http://www.morungexpress.com/regional/104056.html'}",1898.0,8.98,71.57,0.3,0.56,,,,,,,,,,,
GLC-REAL-2025,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-06-28,Meghalaya,25.5728,91.885,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Police CID complex(?), Shillong, Meghalaya', 'source_name': 'hindustantimes', 'source_link': 'http://www.hindustantimes.com/Girl-dies-in-landslide-flash-flood-wrecks-havoc-in-Meghalaya/Article1-564450.aspx'}",1504.0,8.98,71.57,49.93,121.2,,,,,,,,,,,
GLC-REAL-9405,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2016-04-19,Nagaland,26.7223,95.0243,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Techahan Ward, Mon, Nagaland, India', 'source_name': 'Assam Tribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=may0216/oth058'}",696.0,17.01,119.36,10.83,37.9,,,,,,,,,,,
GLC-REAL-5343,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-08-17,Assam,24.7625,93.4341,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'The Imphal-Jiribam Section Of Nh-37 In Tamenglong District', 'source_name': 'www.nagalandpost.com', 'source_link': 'http://www.nagalandpost.com/ChannelNews/Regional/RegionalNews.aspx?news=TkVXUzEwMDA0MzUxNQ%3D%3D-zy3k3F6024s%3D'}",666.0,34.91,229.84,8.13,26.33,,,,,,,,,,,
GLC-REAL-6971,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2015-06-09,Arunachal Pradesh,27.0987,93.816,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Itanagar, Arunachal Pradesh', 'source_name': 'First Post', 'source_link': 'http://www.firstpost.com/india/two-dead-2-injured-landslide-arunachal-pradesh-school-remain-shut-heavy-rainfall-alert-2287954.html'}",215.0,13.52,146.31,44.35,137.97,,,,,,,,,,,
GLC-REAL-1611,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-04-01,Assam,25.1553,93.028,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam', 'source_name': 'en.apa', 'source_link': 'http://en.apa.az/news.php?id=119178'}",577.0,21.61,104.62,40.47,104.47,,,,,,,,,,,
GLC-REAL-147,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2007-07-30,Mizoram,22.533,92.899,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Lawngtlai', 'source_name': 'Red Cross - Field reports', 'source_link': 'https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987'}",809.0,16.8,353.66,0.31,3.17,,,,,,,,,,,
GLC-REAL-4382,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2012-06-03,Assam,25.1175,92.8573,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': '\xa0between Harangajao and Mailongdisa, Assa,', 'source_name': 'articles.timesofindia', 'source_link': 'http://articles.timesofindia.indiatimes.com/2012-06-04/guwahati/32030359_1_barail-hill-harangajao-landslides'}",154.0,9.87,286.7,27.34,76.45,,,,,,,,,,,
GLC-REAL-2424,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-09-13,Mizoram,23.591,92.9296,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram', 'source_name': 'Mizoram Express', 'source_link': 'http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/'}",803.0,17.22,323.75,5.92,10.64,,,,,,,,,,,
GLC-REAL-5431,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-09-01,Assam,24.9829,93.5063,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Tamenglong, Manipur', 'source_name': 'e-pao.net', 'source_link': 'http://e-pao.net/GP.asp?src=24..050913.sep13'}",1305.0,30.86,112.99,5.42,8.29,,,,,,,,,,,
GLC-REAL-3672,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2011-06-29,Assam,25.5125,93.3613,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Portions of NH 39, Connectin Manipur with Assam via Nagaland', 'source_name': 'articles.timesofindia', 'source_link': 'http://articles.timesofindia.indiatimes.com/2011-06-30/guwahati/29720982_1_heavy-rains-highway'}",317.0,6.65,0.0,20.83,75.23,,,,,,,,,,,
GLC-REAL-2253,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-08-15,Manipur,25.31006,94.48265,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur', 'source_name': 'e-pao', 'source_link': 'http://www.e-pao.net/GP.asp?src=28..210810.aug10'}",1544.0,31.05,221.63,10.62,28.36,,,,,,,,,,,
GLC-REAL-1108,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2009-08-20,Assam,24.9925,93.5,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Tamei, Tamenglong district on Imphal-Tamenglong (IT) road', 'source_name': 'kanglaonline', 'source_link': 'http://www.kanglaonline.com/index.php?template=headline&newsid=48686&typeid=2'}",1223.0,11.39,155.56,5.16,18.51,,,,,,,,,,,
GLC-REAL-9168,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2016-06-12,Arunachal Pradesh,27.6438,93.871,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India', 'source_name': 'Arunachal Times', 'source_link': 'http://www.arunachaltimes.in/landslide-blocks-ziro-tamen-road/'}",1707.0,28.18,354.64,23.76,42.42,,,,,,,,,,,
GLC-REAL-3560,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2011-05-31,Manipur,24.8286,93.5935,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur', 'source_name': 'kanglaonline.com', 'source_link': 'http://kanglaonline.com/2011/06/two-children-claimed-by-landslide-at-tamenglong/'}",732.0,37.98,286.11,15.72,45.38,,,,,,,,,,,
GLC-REAL-587,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2008-06-15,Assam,27.2298,94.0989,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Lakhimpur district, Bihpuria, Assam', 'source_name': 'Telegraph India', 'source_link': 'http://www.telegraphindia.com/1080616/jsp/northeast/story_9416169.jsp'}",95.0,2.13,116.57,1.5,64.37,,,,,,,,,,,
GLC-REAL-8012,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2015-09-06,Meghalaya,25.9703,91.8584,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Umling, Meghalaya 793102, India', 'source_name': 'The Assam Tribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=sep0815/oth058'}",289.0,11.35,228.37,0.87,29.57,,,,,,,,,,,
GLC-REAL-7335,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2015-08-18,Meghalaya,25.5145,90.2023,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Tura Civil Hospital', 'source_name': 'Shillong Times', 'source_link': 'http://www.theshillongtimes.com/2015/08/20/child-washed-away-in-tura/'}",314.0,10.22,56.31,15.22,43.75,,,,,,,,,,,
GLC-REAL-141,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2007-07-26,Meghalaya,25.38,91.88,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Singtam', 'source_name': 'thestatesman.net', 'source_link': 'http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=164069'}",1307.0,40.32,199.5,34.95,113.14,,,,,,,,,,,
GLC-REAL-3983,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2011-09-23,Assam,26.1548,91.7351,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Maighuli, Guwahati, Meghalaya', 'source_name': 'nbtvlive'}",57.0,2.13,243.43,10.55,36.67,,,,,,,,,,,
GLC-REAL-148,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2007-07-30,Mizoram,22.479,92.967,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Saiha', 'source_name': 'Red Cross - Field reports', 'source_link': 'https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987'}",446.0,17.78,207.9,0.31,3.17,,,,,,,,,,,
GLC-REAL-1775,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-04-21,Arunachal Pradesh,27.8965,96.1779,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Arunachal Pradesh ', 'source_name': 'gsi.gov', 'source_link': 'http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL'}",209.0,6.38,26.57,46.75,98.64,,,,,,,,,,,
GLC-REAL-3663,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2011-06-28,Nagaland,25.6682,94.1099,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Ruzapfu valley, Kikruma Village, Phek District, Nagaland', 'source_name': 'morungexpress', 'source_link': 'http://www.morungexpress.com/local/67492.html'}",1437.0,8.94,147.99,10.59,57.37,,,,,,,,,,,
GLC-REAL-7385,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2015-08-01,Manipur,24.004,93.9815,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Holenjang, Chandel district', 'source_name': 'India Today', 'source_link': 'http://indiatoday.intoday.in/story/landslide-in-manipur-near-myanmar-border-kills-21/1/455645.html'}",1458.0,35.83,198.85,5.31,82.66,,,,,,,,,,,
GLC-REAL-2575,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-10-09,Assam,25.5242,92.9914,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'road between Haflong and Lanka, Assam', 'source_name': 'dnaindia', 'source_link': 'http://www.dnaindia.com/india/report_one-dead-road-and-rail-communication-disrupted-due-to-rains-in-assam_1450237'}",159.0,16.43,137.29,26.53,110.95,,,,,,,,,,,
GLC-REAL-3840,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2011-07-25,Manipur,24.6869,93.9157,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Manipur', 'source_name': 'assamtribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=jul3011/oth05'}",780.0,1.91,0.0,2.86,6.69,,,,,,,,,,,
GLC-REAL-6015,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2014-05-08,Arunachal Pradesh,27.9032,96.174,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Lohit District of Arunachal Pradesh', 'source_name': 'Business Standard', 'source_link': 'http://www.business-standard.com/article/pti-stories/communication-to-tezu-snapped-due-to-landslide-114051000401_1.html'}",208.0,0.95,270.0,33.77,55.08,,,,,,,,,,,
GLC-REAL-3741,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2011-07-07,Nagaland,25.4191,94.1079,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Maram (80 km north of Imphal)', 'source_name': 'e-pao', 'source_link': 'http://www.e-pao.net/GP.asp?src=8..080711.jul11'}",1397.0,11.5,124.99,2.6,11.26,,,,,,,,,,,
GLC-REAL-2106,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-07-20,Nagaland,26.8716,94.9921,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland', 'source_name': 'nagalandpost', 'source_link': 'http://www.nagalandpost.com/ShowStory.aspx?npoststoryiden=UzEwMjg5OTY%3D-LvoR7D2GhjI%3D'}",284.0,10.05,228.81,14.6,56.11,,,,,,,,,,,
GLC-REAL-9051,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2016-07-19,Meghalaya,26.09748,91.87443,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': '12th Mile area at Jorabat, Meghalaya, India', 'source_name': 'NELIVE (North East Live)', 'source_link': 'http://www.nelive.in/assam/news/woman-injured-landslide'}",188.0,33.84,55.12,19.72,128.07,,,,,,,,,,,
GLC-REAL-870,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2008-10-29,Arunachal Pradesh,27.4,92.35,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'West Kameng, Arunachal Pradesh', 'source_name': 'sindhtoday', 'source_link': 'http://www.sindhtoday.net/south-asia/32058.htm'}",2624.0,27.34,20.77,0.0,24.16,,,,,,,,,,,
GLC-REAL-3830,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2011-07-22,Manipur,24.3527,94.3429,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Manipur', 'source_name': 'e-pao.net', 'source_link': 'http://e-pao.net/GP.asp?src=6..270711.jul11'}",286.0,16.72,176.82,5.5,39.36,,,,,,,,,,,
GLC-REAL-4906,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-06-07,Nagaland,26.0977,94.7499,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Helipong-Chessore Road, Nagaland', 'source_name': 'www.nagalandpost.com', 'source_link': 'http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA0NjAwNw%3D%3D-%2FtfIAOw1uMk%3D'}",1553.0,3.44,56.31,9.11,20.54,,,,,,,,,,,
GLC-REAL-3269,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2011-03-22,Arunachal Pradesh,28.0791,96.5242,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh', 'source_name': 'articles.timesofindia', 'source_link': 'http://articles.timesofindia.indiatimes.com/2011-03-23/guwahati/29178165_1_road-links-rainfall-source'}",556.0,25.51,257.91,7.48,55.41,,,,,,,,,,,
GLC-REAL-6990,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2015-06-24,Nagaland,26.0319,94.5466,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'New Land (""""New Colony"""")', 'source_name': 'Nagaland Post', 'source_link': 'http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA4MjI0OA%3D%3D'}",1557.0,40.14,288.43,13.93,42.27,,,,,,,,,,,
GLC-REAL-6222,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2014-10-01,Arunachal Pradesh,27.1249,93.7706,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Karsingsa block point', 'source_name': 'The Assam Tribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=oct0214/oth052'}",164.0,27.37,93.69,0.0,0.01,,,,,,,,,,,
