event_id,original_event_id,source,country,state_or_province,latitude,longitude,event_date,sample_type,is_landslide,trigger,fatalities,original_source_fields
GLC-REAL-147,147,NASA_GLC,India,Mizoram,22.533,92.899,2007-07-30,observed_landslide,1,Unknown,0,"{'location_description': 'Lawngtlai', 'source_name': 'Red Cross - Field reports', 'source_link': 'https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987'}"
GLC-REAL-4382,4382,NASA_GLC,India,Assam,25.1175,92.8573,2012-06-03,observed_landslide,1,Unknown,0,"{'location_description': '\xa0between Harangajao and Mailongdisa, Assa,', 'source_name': 'articles.timesofindia', 'source_link': 'http://articles.timesofindia.indiatimes.com/2012-06-04/guwahati/32030359_1_barail-hill-harangajao-landslides'}"
GLC-REAL-2424,2424,NASA_GLC,India,Mizoram,23.591,92.9296,2010-09-13,observed_landslide,1,Unknown,0,"{'location_description': 'near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram', 'source_name': 'Mizoram Express', 'source_link': 'http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/'}"
GLC-REAL-5431,5431,NASA_GLC,India,Assam,24.9829,93.5063,2013-09-01,observed_landslide,1,Unknown,0,"{'location_description': 'Tamenglong, Manipur', 'source_name': 'e-pao.net', 'source_link': 'http://e-pao.net/GP.asp?src=24..050913.sep13'}"
GLC-REAL-3672,3672,NASA_GLC,India,Assam,25.5125,93.3613,2011-06-29,observed_landslide,1,Unknown,0,"{'location_description': 'Portions of NH 39, Connectin Manipur with Assam via Nagaland', 'source_name': 'articles.timesofindia', 'source_link': 'http://articles.timesofindia.indiatimes.com/2011-06-30/guwahati/29720982_1_heavy-rains-highway'}"
GLC-REAL-2253,2253,NASA_GLC,India,Manipur,25.31006,94.48265,2010-08-15,observed_landslide,1,Unknown,0,"{'location_description': 'Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur', 'source_name': 'e-pao', 'source_link': 'http://www.e-pao.net/GP.asp?src=28..210810.aug10'}"
GLC-REAL-1108,1108,NASA_GLC,India,Assam,24.9925,93.5,2009-08-20,observed_landslide,1,Unknown,0,"{'location_description': 'Tamei, Tamenglong district on Imphal-Tamenglong (IT) road', 'source_name': 'kanglaonline', 'source_link': 'http://www.kanglaonline.com/index.php?template=headline&newsid=48686&typeid=2'}"
GLC-REAL-9168,9168,NASA_GLC,India,Arunachal Pradesh,27.6438,93.871,2016-06-12,observed_landslide,1,Unknown,0,"{'location_description': 'NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India', 'source_name': 'Arunachal Times', 'source_link': 'http://www.arunachaltimes.in/landslide-blocks-ziro-tamen-road/'}"
GLC-REAL-3560,3560,NASA_GLC,India,Manipur,24.8286,93.5935,2011-05-31,observed_landslide,1,Unknown,0,"{'location_description': 'Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur', 'source_name': 'kanglaonline.com', 'source_link': 'http://kanglaonline.com/2011/06/two-children-claimed-by-landslide-at-tamenglong/'}"
GLC-REAL-587,587,NASA_GLC,India,Assam,27.2298,94.0989,2008-06-15,observed_landslide,1,Unknown,0,"{'location_description': 'Lakhimpur district, Bihpuria, Assam', 'source_name': 'Telegraph India', 'source_link': 'http://www.telegraphindia.com/1080616/jsp/northeast/story_9416169.jsp'}"
GLC-REAL-8012,8012,NASA_GLC,India,Meghalaya,25.9703,91.8584,2015-09-06,observed_landslide,1,Unknown,0,"{'location_description': 'Umling, Meghalaya 793102, India', 'source_name': 'The Assam Tribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=sep0815/oth058'}"
GLC-REAL-7335,7335,NASA_GLC,India,Meghalaya,25.5145,90.2023,2015-08-18,observed_landslide,1,Unknown,0,"{'location_description': 'Tura Civil Hospital', 'source_name': 'Shillong Times', 'source_link': 'http://www.theshillongtimes.com/2015/08/20/child-washed-away-in-tura/'}"
GLC-REAL-141,141,NASA_GLC,India,Meghalaya,25.38,91.88,2007-07-26,observed_landslide,1,Unknown,0,"{'location_description': 'Singtam', 'source_name': 'thestatesman.net', 'source_link': 'http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=164069'}"
GLC-REAL-3983,3983,NASA_GLC,India,Assam,26.1548,91.7351,2011-09-23,observed_landslide,1,Unknown,0,"{'location_description': 'Maighuli, Guwahati, Meghalaya', 'source_name': 'nbtvlive'}"
GLC-REAL-148,148,NASA_GLC,India,Mizoram,22.479,92.967,2007-07-30,observed_landslide,1,Unknown,0,"{'location_description': 'Saiha', 'source_name': 'Red Cross - Field reports', 'source_link': 'https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987'}"
GLC-REAL-1775,1775,NASA_GLC,India,Arunachal Pradesh,27.8965,96.1779,2010-04-21,observed_landslide,1,Unknown,0,"{'location_description': 'Arunachal Pradesh ', 'source_name': 'gsi.gov', 'source_link': 'http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL'}"
GLC-REAL-3663,3663,NASA_GLC,India,Nagaland,25.6682,94.1099,2011-06-28,observed_landslide,1,Unknown,0,"{'location_description': 'Ruzapfu valley, Kikruma Village, Phek District, Nagaland', 'source_name': 'morungexpress', 'source_link': 'http://www.morungexpress.com/local/67492.html'}"
GLC-REAL-7385,7385,NASA_GLC,India,Manipur,24.004,93.9815,2015-08-01,observed_landslide,1,Unknown,0,"{'location_description': 'Holenjang, Chandel district', 'source_name': 'India Today', 'source_link': 'http://indiatoday.intoday.in/story/landslide-in-manipur-near-myanmar-border-kills-21/1/455645.html'}"
GLC-REAL-2575,2575,NASA_GLC,India,Assam,25.5242,92.9914,2010-10-09,observed_landslide,1,Unknown,0,"{'location_description': 'road between Haflong and Lanka, Assam', 'source_name': 'dnaindia', 'source_link': 'http://www.dnaindia.com/india/report_one-dead-road-and-rail-communication-disrupted-due-to-rains-in-assam_1450237'}"
GLC-REAL-3840,3840,NASA_GLC,India,Manipur,24.6869,93.9157,2011-07-25,observed_landslide,1,Unknown,0,"{'location_description': 'Manipur', 'source_name': 'assamtribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=jul3011/oth05'}"
GLC-REAL-6015,6015,NASA_GLC,India,Arunachal Pradesh,27.9032,96.174,2014-05-08,observed_landslide,1,Unknown,0,"{'location_description': 'Lohit District of Arunachal Pradesh', 'source_name': 'Business Standard', 'source_link': 'http://www.business-standard.com/article/pti-stories/communication-to-tezu-snapped-due-to-landslide-114051000401_1.html'}"
GLC-REAL-3741,3741,NASA_GLC,India,Nagaland,25.4191,94.1079,2011-07-07,observed_landslide,1,Unknown,0,"{'location_description': 'Maram (80 km north of Imphal)', 'source_name': 'e-pao', 'source_link': 'http://www.e-pao.net/GP.asp?src=8..080711.jul11'}"
GLC-REAL-2106,2106,NASA_GLC,India,Nagaland,26.8716,94.9921,2010-07-20,observed_landslide,1,Unknown,0,"{'location_description': 'road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland', 'source_name': 'nagalandpost', 'source_link': 'http://www.nagalandpost.com/ShowStory.aspx?npoststoryiden=UzEwMjg5OTY%3D-LvoR7D2GhjI%3D'}"
GLC-REAL-9051,9051,NASA_GLC,India,Meghalaya,26.09748,91.87443,2016-07-19,observed_landslide,1,Unknown,0,"{'location_description': '12th Mile area at Jorabat, Meghalaya, India', 'source_name': 'NELIVE (North East Live)', 'source_link': 'http://www.nelive.in/assam/news/woman-injured-landslide'}"
GLC-REAL-870,870,NASA_GLC,India,Arunachal Pradesh,27.4,92.35,2008-10-29,observed_landslide,1,Unknown,0,"{'location_description': 'West Kameng, Arunachal Pradesh', 'source_name': 'sindhtoday', 'source_link': 'http://www.sindhtoday.net/south-asia/32058.htm'}"
GLC-REAL-3830,3830,NASA_GLC,India,Manipur,24.3527,94.3429,2011-07-22,observed_landslide,1,Unknown,0,"{'location_description': 'Manipur', 'source_name': 'e-pao.net', 'source_link': 'http://e-pao.net/GP.asp?src=6..270711.jul11'}"
GLC-REAL-4906,4906,NASA_GLC,India,Nagaland,26.0977,94.7499,2013-06-07,observed_landslide,1,Unknown,0,"{'location_description': 'Helipong-Chessore Road, Nagaland', 'source_name': 'www.nagalandpost.com', 'source_link': 'http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA0NjAwNw%3D%3D-%2FtfIAOw1uMk%3D'}"
GLC-REAL-3269,3269,NASA_GLC,India,Arunachal Pradesh,28.0791,96.5242,2011-03-22,observed_landslide,1,Unknown,0,"{'location_description': 'road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh', 'source_name': 'articles.timesofindia', 'source_link': 'http://articles.timesofindia.indiatimes.com/2011-03-23/guwahati/29178165_1_road-links-rainfall-source'}"
GLC-REAL-6990,6990,NASA_GLC,India,Nagaland,26.0319,94.5466,2015-06-24,observed_landslide,1,Unknown,0,"{'location_description': 'New Land (""""New Colony"""")', 'source_name': 'Nagaland Post', 'source_link': 'http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA4MjI0OA%3D%3D'}"
GLC-REAL-6222,6222,NASA_GLC,India,Arunachal Pradesh,27.1249,93.7706,2014-10-01,observed_landslide,1,Unknown,0,"{'location_description': 'Karsingsa block point', 'source_name': 'The Assam Tribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=oct0214/oth052'}"
GLC-REAL-9169,9169,NASA_GLC,India,Nagaland,26.1677,94.2442,2016-06-12,observed_landslide,1,Unknown,0,"{'location_description': 'on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India', 'source_name': 'Nagaland Post', 'source_link': 'http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA5ODM0Mg%3D%3D'}"
GLC-REAL-4435,4435,NASA_GLC,India,Arunachal Pradesh,27.174,95.8011,2012-06-25,observed_landslide,1,Unknown,0,"{'location_description': 'Tirap , Arunachal Pradesh', 'source_name': 'articles.timesofindia', 'source_link': 'http://articles.timesofindia.indiatimes.com/2012-07-04/guwahati/32536229_1_massive-landslides-landslide-hit-road-blockade'}"
GLC-REAL-4313,4313,NASA_GLC,India,Arunachal Pradesh,28.4659,95.86,2012-04-08,observed_landslide,1,Unknown,0,"{'location_description': 'Endulin Nallah, Mayodia, 17-camp, 83-camp', 'source_name': 'timesofindia.indiatimes', 'source_link': 'http://timesofindia.indiatimes.com/Landslides-snap-road-links-in-Dibang-Valley/articleshow/12601499.cms'}"
GLC-REAL-2344,2344,NASA_GLC,India,Assam,24.7505,93.4221,2010-08-27,observed_landslide,1,Unknown,0,"{'location_description': 'NH-53 at Nungba police station, Kambirong(?), Manipur', 'source_name': 'e-pao', 'source_link': 'http://www.e-pao.net/GP.asp?src=27..280810.aug10'}"
GLC-REAL-7263,7263,NASA_GLC,India,Manipur,25.4477,94.0489,2015-07-22,observed_landslide,1,Unknown,0,"{'location_description': '15 kms from Maram, National Highway-102/A (Maram Peren road)', 'source_name': 'The Sangai Express', 'source_link': 'http://www.thesangaiexpress.com/page/items/54212/massive-landslide-along-maram-peren-road-downpour-creates-havoc-in-different-parts'}"
GLC-REAL-5271,5271,NASA_GLC,India,Nagaland,26.284,94.5808,2013-08-04,observed_landslide,1,Unknown,0,"{'location_description': 'Nanga, Nagaland', 'source_name': 'www.nagalandpost.com', 'source_link': 'http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDA0MjY4Nw%3D%3D-bSp8jh3okxw%3D'}"
GLC-REAL-4424,4424,NASA_GLC,India,Assam,26.149,91.7351,2012-06-20,observed_landslide,1,Unknown,0,"{'location_description': 'Lalunggaon, Guwahati,  Assam', 'source_name': 'twocircles.net', 'source_link': 'http://twocircles.net/2012jun22/landslide_kills_three_assam.html'}"
GLC-REAL-3525,3525,NASA_GLC,India,Assam,25.0672,93.4093,2011-05-22,observed_landslide,1,Unknown,0,"{'location_description': 'Kaiphundai(?)-Tousem(in Assam) road, Tamenglong district, Manipur', 'source_name': 'e-pao', 'source_link': 'http://www.e-pao.net/GP.asp?src=15..240511.may11'}"
GLC-REAL-7369,7369,NASA_GLC,India,Manipur,24.1988,94.1016,2015-08-01,observed_landslide,1,Unknown,0,"{'location_description': 'between Chalong and Paraolon', 'source_name': 'E-PAO', 'source_link': 'http://e-pao.net/GP.asp?src=21..020815.aug15'}"
GLC-REAL-4892,4892,NASA_GLC,India,Arunachal Pradesh,27.8776,94.25,2013-06-01,observed_landslide,1,Unknown,0,"{'location_description': 'Upper Subansiri', 'source_name': 'articles.timesofindia.indiatimes.com', 'source_link': 'http://articles.timesofindia.indiatimes.com/2013-07-28/guwahati/40848148_1_daporijo-upper-subansiri-landslides'}"
GLC-REAL-4377,4377,NASA_GLC,India,Assam,26.1475,91.7356,2012-06-02,observed_landslide,1,Unknown,0,"{'location_description': 'Guwahati, Assam', 'source_name': 'ibnlive.in', 'source_link': 'http://ibnlive.in.com/generalnewsfeed/news/barrak-valley-cut-off-due-to-heavy-landslides/1007155.html'}"
GLC-REAL-5430,5430,NASA_GLC,India,Manipur,24.9037,93.487,2013-09-01,observed_landslide,1,Unknown,0,"{'location_description': 'Tamenglong- Khongsang Road, Manipur', 'source_name': 'e-pao.net', 'source_link': 'http://e-pao.net/GP.asp?src=24..050913.sep13'}"
GLC-REAL-7264,7264,NASA_GLC,India,Manipur,25.4538,93.9827,2015-07-22,observed_landslide,1,Unknown,0,"{'location_description': '22 kms to 30 kms between Sangkungmai and Willong', 'source_name': 'The Sangai Express', 'source_link': 'http://www.thesangaiexpress.com/page/items/54212/massive-landslide-along-maram-peren-road-downpour-creates-havoc-in-different-parts'}"
GLC-REAL-5006,5006,NASA_GLC,India,Nagaland,26.1147,94.3864,2013-07-01,observed_landslide,1,Unknown,0,"{'location_description': 'Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road', 'source_name': 'www.nagalandpost.com', 'source_link': 'http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDA0MDQ4MQ%3D%3D-gEvw8J4DIOI%3D'}"
GLC-REAL-9335,9335,NASA_GLC,India,Assam,24.5202,92.7239,2016-05-18,observed_landslide,1,Unknown,0,"{'location_description': 'Bilaipur, Hailakandi district, Assam, India', 'source_name': 'Indian Express', 'source_link': 'http://indianexpress.com/article/india/india-news-india/at-least-10-killed-in-landslides-in-assam-rescue-operations-underway-2806810/'}"
GLC-REAL-7279,7279,NASA_GLC,India,Manipur,24.9818,93.5142,2015-07-24,observed_landslide,1,Unknown,0,"{'location_description': 'Tamenglong Ward No-IV', 'source_name': 'E-PAO', 'source_link': 'http://e-pao.net/GP.asp?src=Snipp16..250715.jul15'}"
GLC-REAL-6288,6288,NASA_GLC,India,Assam,26.1985,91.7998,2014-09-22,observed_landslide,1,Unknown,0,"{'location_description': 'Noonmati', 'source_name': 'Assam Tribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=sep2414/at051'}"
GLC-REAL-5087,5087,NASA_GLC,India,Nagaland,25.6269,94.1139,2013-07-12,observed_landslide,1,Unknown,0,"{'location_description': 'National Highway 29 Near Phesama Village, Nagaland', 'source_name': 'www.thehindubusinessline.com', 'source_link': 'http://www.thehindubusinessline.com/news/states/landslides-disrupt-vehicular-movement-on-nh29/article4912110.ece'}"
GLC-REAL-258,258,NASA_GLC,India,Manipur,24.4279,94.0564,2007-09-11,observed_landslide,1,Unknown,0,"{'location_description': 'NH-39 at Imphal-Moreh section, Lokchao largest event', 'source_name': 'kanglaonline.com', 'source_link': 'http://www.kanglaonline.com/index.php?template=headline&newsid=39255&typeid=1'}"
GLC-REAL-5338,5338,NASA_GLC,India,Assam,26.8727,94.9275,2013-08-16,observed_landslide,1,Unknown,0,"{'location_description': 'Longlem, Nagaland', 'source_name': 'www.nagalandpost.com', 'source_link': 'http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA0NDE4MQ%3D%3D-6hneqQH1frg%3D'}"
GLC-REAL-2411,2411,NASA_GLC,India,Arunachal Pradesh,27.0011,93.7273,2010-09-10,observed_landslide,1,Unknown,0,"{'location_description': 'districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province', 'source_name': 'timesofindia.indiatimes', 'source_link': 'http://timesofindia.indiatimes.com/india/13-killed-as-rains-wrack-havoc-in-north-and-eastern-India-/articleshow/6532367.cms'}"
GLC-REAL-6143,6143,NASA_GLC,India,Mizoram,23.7327,92.7463,2014-07-14,observed_landslide,1,Unknown,0,"{'location_description': 'Zembabawk, Aizawl', 'source_name': 'Business Standard', 'source_link': 'http://www.business-standard.com/article/pti-stories/rescue-operations-for-woman-swept-away-by-landslide-continue-114071500831_1.html'}"
GLC-REAL-9124,9124,NASA_GLC,India,Meghalaya,25.203,90.5573,2016-07-19,observed_landslide,1,Unknown,0,"{'location_description': 'Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India', 'source_name': 'Business Standard', 'source_link': 'http://www.business-standard.com/article/news-ani/over-hundred-homes-displaced-due-to-landslide-in-meghalaya-116072100406_1.html'}"
GLC-REAL-2282,2282,NASA_GLC,India,Nagaland,26.1984,94.8158,2010-08-19,observed_landslide,1,Unknown,0,"{'location_description': 'Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland', 'source_name': 'indiablooms', 'source_link': 'http://www.indiablooms.com/EnvironmentDetailsPage/environmentDetails190810a.php'}"
GLC-REAL-9338,9338,NASA_GLC,India,Assam,24.4638,92.4943,2016-05-18,observed_landslide,1,Unknown,0,"{'location_description': 'Sonachirra, Karimganj district, Assam, India', 'source_name': 'Indian Express', 'source_link': 'http://indianexpress.com/article/india/india-news-india/at-least-10-killed-in-landslides-in-assam-rescue-operations-underway-2806810/'}"
GLC-REAL-2421,2421,NASA_GLC,India,Mizoram,23.75407,92.74129,2010-09-13,observed_landslide,1,Unknown,0,"{'location_description': 'road to Muanna Godown, Zuangtui, Mizoram', 'source_name': 'Mizoram Express', 'source_link': 'http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/'}"
GLC-REAL-2249,2249,NASA_GLC,India,Nagaland,26.0814,94.803,2010-08-14,observed_landslide,1,Unknown,0,"{'location_description': 'Kiphire-Tuensang rd, Nagaland', 'source_name': 'morungexpress', 'source_link': 'http://www.morungexpress.com/frontpage/53726.html'}"
GLC-REAL-8901,8901,NASA_GLC,India,Nagaland,25.7902,94.1318,2016-07-10,observed_landslide,1,Unknown,0,"{'location_description': 'National Highway 2, near Kohima, Nagaland, India', 'source_name': 'Business Standard', 'source_link': 'http://www.business-standard.com/article/news-ians/landslide-blocks-nh2-disrupting-traffic-to-and-from-manipur-116071000262_1.html'}"
GLC-REAL-2283,2283,NASA_GLC,India,Manipur,24.8961,93.4957,2010-08-19,observed_landslide,1,Unknown,0,"{'location_description': '2 km from Khongsang village(?), road between Tamenglong and Imphal or Nungba, Manipur', 'source_name': 'e-pao.net', 'source_link': 'http://e-pao.net/GP.asp?src=21..210810.aug10'}"
GLC-REAL-6016,6016,NASA_GLC,India,Assam,24.8669,92.3576,2014-05-09,observed_landslide,1,Unknown,0,"{'location_description': 'Satgarakul Village, Karimganj, Assam State', 'source_name': 'Sciency Thoughts', 'source_link': 'http://sciencythoughts.blogspot.com/2014/05/seven-members-of-one-family-killed-by.html'}"
GLC-REAL-215,215,NASA_GLC,India,Nagaland,25.7428,93.9136,2007-08-28,observed_landslide,1,Unknown,0,"{'location_description': 'Phesema area at National Highway 39', 'source_name': 'Newkerala', 'source_link': 'http://www.newkerala.com/july.php?action=fullnews&id=56364'}"
GLC-REAL-7780,7780,NASA_GLC,India,Mizoram,23.3572,92.7878,2015-08-26,observed_landslide,1,Unknown,0,"{'location_description': 'Sailam village', 'source_name': 'Indian Express', 'source_link': 'http://indianexpress.com/article/india/india-others/several-houses-swept-away-in-mudslide-in-the-mizoram-town-of-phullen/'}"
GLC-REAL-2281,2281,NASA_GLC,India,Nagaland,25.6156,94.11603,2010-08-19,observed_landslide,1,Unknown,0,"{'location_description': 'Kisima, Nagaland', 'source_name': 'E-PAO', 'source_link': 'http://www.indiablooms.com/EnvironmentDetailsPage/environmentDetails190810a.php'}"
GLC-REAL-1996,1996,NASA_GLC,India,Nagaland,26.4333,94.8833,2010-06-17,observed_landslide,1,Unknown,0,"{'location_description': 'Shayoung Ward(?), Longleng, Nagaland', 'source_name': 'morungexpress', 'source_link': 'http://www.morungexpress.com/local/50546.html'}"
GLC-REAL-6283,6283,NASA_GLC,India,Assam,26.1314,91.7548,2014-09-22,observed_landslide,1,Unknown,0,"{'location_description': 'Dakhingaon', 'source_name': 'Assam Tribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=sep2414/at051'}"
GLC-REAL-8930,8930,NASA_GLC,India,Nagaland,26.1699,94.4922,2016-07-11,observed_landslide,1,Unknown,0,"{'location_description': 'North Point Colony, Akuluto, Nagaland, India', 'source_name': 'Nagaland Post', 'source_link': 'https://issuu.com/nagalandpost90/docs/july_13__2016'}"
GLC-REAL-869,869,NASA_GLC,India,Assam,27.2333,94.1167,2008-10-29,observed_landslide,1,Unknown,0,"{'location_description': 'North Lakhimpur ', 'source_name': 'rttnews', 'source_link': 'http://www.rttnews.com/ArticleView.aspx?Id=758386&SMap=1'}"
GLC-REAL-285,285,NASA_GLC,India,Mizoram,24.1293,92.6921,2007-09-29,observed_landslide,1,Unknown,0,"{'location_description': 'National Highway, 45 Aizwal (Mizoram)', 'source_name': 'Newkerala', 'source_link': 'http://www.newkerala.com/oct.php?action=fullnews&id=7498'}"
GLC-REAL-3662,3662,NASA_GLC,India,Manipur,25.03562,94.01442,2011-06-28,observed_landslide,1,Unknown,0,"{'location_description': 'Ikou-Gangpijang road, near: Ikou, Saikul, and Gangpijang; Imphal India', 'source_name': 'E-PAO', 'source_link': 'http://e-pao.net/GP.asp?src=7..290611.jun11'}"
GLC-REAL-5427,5427,NASA_GLC,India,Nagaland,25.3833,94.1884,2013-08-15,observed_landslide,1,Unknown,0,"{'location_description': 'Koide Government High School, Senapati, Manipur', 'source_name': 'e-pao.net', 'source_link': 'http://e-pao.net/GP.asp?src=Snipp8..230813.aug13'}"
GLC-REAL-8339,8339,NASA_GLC,India,Assam,26.1666,91.7042,2015-09-23,observed_landslide,1,Unknown,0,"{'location_description': 'Kamakhya Temple', 'source_name': 'Assam Times', 'source_link': 'http://www.assamtimes.org/node/15150'}"
