sample_id,label,latitude,longitude,elevation_m,slope_deg,aspect_deg,rainfall_24h_mm,rainfall_72h_mm,rainfall_surround_max_mm,soil_clay_pct,soil_sand_pct,soil_silt_pct,soil_bulk_density,soil_ph,soil_organic_carbon,lc_tree_cover,lc_builtup,saturation_pct,cohesion_kpa,split_target,state,district,corridor,event_date,geology,trigger,sample_type,data_pedigree
LS-POS-0011,1,27.4182,88.533,1684.8,34.59,237.6,8.72,28.77,13.91,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,45.8,8.4,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2021-08-14,Schist & Phyllite,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0012,1,27.4825,88.4806,1999.2,39.85,163.6,69.91,98.8,90.88,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,62.5,10.6,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2020-07-10,Disang Shale,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0013,1,27.0912,88.6479,1481.9,41.52,155.8,13.67,68.68,33.2,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,54.8,18.8,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2019-08-08,Granite Gneiss,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0014,1,27.4789,88.3144,784.7,34.95,280.3,5.77,28.07,13.57,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,44.0,18.2,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2022-09-15,Granite Gneiss,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0015,1,27.5126,88.2933,2212.0,40.94,118.5,6.71,25.1,12.13,18.2,58.6,23.2,1.48,5.1,18.5,0.0,0.0,41.4,9.7,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2018-06-14,Disang Shale,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0016,1,27.4034,88.2003,1267.0,35.31,77.4,6.71,25.1,12.13,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,45.0,10.9,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2018-06-14,Schist & Phyllite,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0017,1,27.1863,88.6715,1215.6,40.45,113.6,6.75,57.25,27.67,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,49.6,19.5,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2022-05-18,Quartzite Schist,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0018,1,27.1228,88.5482,1896.5,31.55,156.0,3.95,18.3,8.85,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,41.8,7.8,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2018-07-22,Disang Shale,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0019,1,26.9731,88.3725,1760.1,44.34,110.4,67.38,159.53,87.59,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,70.9,19.9,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2019-07-12,Quartzite Schist,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0020,1,27.4205,88.5808,1065.9,45.48,265.4,14.35,44.08,21.31,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,46.1,20.7,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2020-08-11,Quartzite Schist,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0021,1,27.5088,88.2754,1539.3,44.7,237.0,11.66,19.18,15.16,34.1,32.4,33.5,1.28,5.8,29.1,0.0,0.0,41.8,21.3,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2022-07-19,Quartzite Schist,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0022,1,27.5167,88.3743,818.3,50.57,294.7,18.71,69.79,33.73,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,54.6,19.2,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2022-06-18,Quartzite Schist,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0023,1,27.5641,88.329,1805.0,47.61,70.1,6.71,25.1,12.13,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,45.5,21.2,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2018-06-14,Quartzite Schist,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0024,1,27.5781,88.6502,1757.9,36.14,218.3,6.16,27.11,13.1,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,43.3,8.2,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2018-06-14,Disang Shale,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0025,1,27.0089,88.2808,2222.5,42.55,307.9,2.07,7.14,3.45,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,40.7,18.6,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2018-08-18,Quartzite Schist,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0026,1,27.1487,88.3527,1499.8,38.76,178.4,11.92,35.72,17.26,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,44.1,7.0,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2018-06-14,Schist & Phyllite,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0027,1,27.0752,88.3832,1952.3,45.3,204.3,9.62,55.73,26.94,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,52.0,20.7,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2021-07-28,Quartzite Schist,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0028,1,27.6352,88.4434,2235.7,38.43,178.0,8.72,28.77,13.91,26.5,46.0,27.5,1.36,5.3,23.5,0.0,0.0,45.5,21.1,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2021-08-14,Granite Gneiss,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0029,1,27.0867,88.5612,1141.4,28.58,292.0,14.8,48.08,23.24,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,48.4,20.3,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2021-07-28,Quartzite Schist,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0030,1,27.2091,88.2077,2274.6,38.28,65.3,11.92,35.72,17.26,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,43.7,7.5,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2018-06-14,Disang Shale,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0031,1,27.164,88.2955,1119.8,39.65,198.9,2.07,7.14,3.45,18.2,58.6,23.2,1.48,5.1,18.5,0.0,0.0,40.6,8.9,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2018-08-18,Schist & Phyllite,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0032,1,27.018,88.5075,2382.6,31.36,274.1,6.75,57.25,27.67,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,51.0,21.1,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2022-05-18,Granite Gneiss,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0033,1,27.0456,88.5545,1617.4,35.12,67.0,14.03,35.72,18.24,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,46.7,9.2,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2021-06-25,Disang Shale,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0034,1,26.9536,88.5139,990.0,29.7,70.4,3.95,18.3,8.85,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,42.4,8.2,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2018-07-22,Disang Shale,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0035,1,27.3548,88.218,1464.8,41.02,55.1,3.18,25.41,12.28,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,40.8,19.7,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2022-05-18,Granite Gneiss,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0036,1,27.5258,88.3801,872.4,40.53,272.3,13.03,31.38,16.94,26.5,46.0,27.5,1.36,5.3,23.5,0.0,0.0,43.2,19.6,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2018-09-02,Quartzite Schist,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0037,1,27.0861,88.4057,1874.1,31.32,259.7,16.2,26.18,21.06,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,45.9,18.9,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2022-07-19,Granite Gneiss,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0038,1,27.1396,88.4195,787.3,28.61,230.9,37.6,82.29,48.88,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,53.4,19.1,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2020-06-25,Granite Gneiss,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0039,1,26.9907,88.6576,1424.1,33.75,302.8,13.16,43.86,21.2,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,46.4,20.6,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2018-06-14,Quartzite Schist,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0040,1,27.4665,88.4772,1720.5,38.07,69.8,16.24,46.47,22.46,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,48.5,21.1,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2021-07-28,Granite Gneiss,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0041,1,27.0159,88.3557,2364.1,32.21,91.8,13.41,38.3,18.51,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,47.4,19.6,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2018-09-02,Granite Gneiss,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0042,1,27.2537,88.3993,1727.7,43.24,180.8,11.66,19.18,15.16,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,44.1,18.7,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2022-07-19,Quartzite Schist,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0043,1,27.5495,88.5293,935.1,29.69,149.8,25.65,52.33,33.34,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,46.6,7.4,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2020-09-22,Schist & Phyllite,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0044,1,27.4003,88.4291,1604.8,50.6,100.8,81.26,107.94,105.64,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,63.0,8.8,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2020-07-10,Schist & Phyllite,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0045,1,27.1418,88.3073,1310.2,28.94,149.1,6.02,41.53,20.07,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,45.1,9.0,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2019-09-15,Disang Shale,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0046,1,27.4271,88.3703,1106.2,39.9,281.9,13.19,41.94,20.27,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,45.1,9.8,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2020-08-11,Schist & Phyllite,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0047,1,27.4645,88.6017,1143.6,32.26,156.4,9.58,28.7,13.87,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,44.0,19.5,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2018-08-18,Quartzite Schist,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0048,1,27.2104,88.5882,1246.4,50.34,244.8,14.03,35.72,18.24,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,44.7,20.5,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2021-06-25,Quartzite Schist,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0049,1,27.1168,88.3889,1585.1,39.92,150.1,16.2,26.18,21.06,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,43.0,18.4,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2022-07-19,Granite Gneiss,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0050,1,26.9576,88.6527,809.8,35.66,166.1,47.27,96.08,61.45,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,56.8,10.8,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2021-09-02,Disang Shale,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0051,1,27.1552,88.3643,1826.9,46.06,308.0,121.53,157.48,157.99,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,75.1,9.8,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2020-07-10,Disang Shale,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0052,1,27.6472,88.2279,1939.8,41.1,250.6,37.3,80.02,48.49,34.1,32.4,33.5,1.28,5.8,29.1,0.0,0.0,54.2,21.9,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2020-06-25,Granite Gneiss,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0053,1,27.3828,88.2506,797.2,44.82,67.0,7.89,24.69,11.93,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,45.1,9.9,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2018-07-22,Schist & Phyllite,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0054,1,27.0094,88.6933,1305.0,36.9,248.4,14.03,35.72,18.24,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,45.6,8.1,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2021-06-25,Schist & Phyllite,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0055,1,27.2134,88.2418,2010.0,41.4,162.3,12.18,52.64,25.44,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,47.2,21.6,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2019-08-08,Granite Gneiss,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0056,1,27.1276,88.4026,1650.1,45.78,228.9,11.92,35.72,17.26,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,45.6,7.8,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2018-06-14,Disang Shale,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0057,1,27.1163,88.4001,1486.0,29.99,309.0,59.34,111.13,77.14,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,61.2,20.3,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2020-09-22,Granite Gneiss,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0058,1,27.3392,88.3613,726.0,50.19,65.4,10.8,30.06,14.53,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,42.7,10.4,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2022-08-05,Schist & Phyllite,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0059,1,27.0664,88.3084,1165.4,51.9,120.9,20.66,66.13,31.96,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,54.1,20.9,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2020-08-11,Quartzite Schist,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0060,1,27.6153,88.6451,1447.4,42.88,116.8,17.92,63.74,30.81,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,51.6,20.5,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2022-06-18,Quartzite Schist,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
NON-LS-BG-0061,0,27.2022,88.33,1263.3,26.76,246.5,9.54,30.14,14.57,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,45.1,9.6,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2021-06-25,Schist & Phyllite,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0062,0,27.0638,88.6555,1869.0,15.35,335.8,0.0,0.0,0.0,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,35.5,8.7,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2021-02-10,Disang Shale,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0063,0,27.5562,88.2226,563.2,7.89,135.6,3.56,3.71,4.63,28.5,44.2,27.3,1.34,5.4,24.2,0.0,0.0,36.0,20.0,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2018-02-14,Granite Gneiss,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0064,0,27.4747,88.3965,1879.8,10.4,4.9,6.71,25.1,12.13,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,42.5,18.6,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2018-06-14,Granite Gneiss,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0065,0,27.0028,88.5459,1396.3,42.94,340.1,6.6,43.84,21.19,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,45.2,9.4,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2022-09-15,Schist & Phyllite,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0066,0,27.5448,88.3237,1258.9,4.68,316.2,3.94,5.17,5.12,34.1,32.4,33.5,1.28,5.8,29.1,0.0,0.0,37.1,10.7,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2022-03-30,Schist & Phyllite,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0067,0,27.4799,88.2234,960.6,3.29,187.3,4.26,13.06,6.31,18.2,58.6,23.2,1.48,5.1,18.5,0.0,0.0,41.4,19.4,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2018-08-18,Granite Gneiss,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0068,0,27.5465,88.476,1439.9,35.08,151.4,8.72,28.77,13.91,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,44.8,7.1,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2021-08-14,Schist & Phyllite,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0069,0,27.4993,88.5197,1840.3,14.74,229.2,5.04,21.43,10.36,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,45.5,19.9,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2018-07-22,Granite Gneiss,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0070,0,27.3384,88.2455,1711.3,10.12,224.0,3.94,5.17,5.12,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,40.8,18.3,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2022-03-30,Quartzite Schist,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0071,0,27.5537,88.6748,761.2,41.64,352.8,4.82,32.26,15.59,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,45.0,9.0,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2019-06-28,Schist & Phyllite,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0072,0,27.2948,88.3644,1558.8,47.49,54.7,24.04,39.25,31.25,34.1,32.4,33.5,1.28,5.8,29.1,0.0,0.0,49.2,9.3,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2021-09-02,Disang Shale,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0073,0,27.0472,88.5204,818.3,37.39,216.7,36.25,121.62,58.78,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,64.6,19.1,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2022-06-18,Quartzite Schist,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0074,0,27.1067,88.6109,1085.9,36.53,128.2,55.49,112.8,72.14,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,61.8,20.1,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2020-06-25,Granite Gneiss,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0075,0,27.576,88.2644,1061.4,26.66,184.2,9.96,29.51,14.26,18.2,58.6,23.2,1.48,5.1,18.5,0.0,0.0,44.1,7.1,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2021-08-14,Schist & Phyllite,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0076,0,27.6404,88.4683,2035.4,6.07,269.1,5.04,21.43,10.36,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,44.7,10.6,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2018-07-22,Disang Shale,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0077,0,26.9757,88.3262,1689.9,31.17,161.1,31.37,110.98,53.64,34.1,32.4,33.5,1.28,5.8,29.1,0.0,1.0,60.2,9.2,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2022-06-18,Disang Shale,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0078,0,27.3228,88.3212,961.6,36.5,32.1,8.87,48.15,23.27,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,46.3,9.7,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2019-08-08,Disang Shale,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
