event_id,sample_type,event_date,latitude,longitude,rainfall_24h_mm,rainfall_72h_mm,rainfall_source
GLC-REAL-2424,observed_landslide,2010-09-13,23.591,92.9296,5.92,10.64,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5431,observed_landslide,2013-09-01,24.9829,93.5063,5.42,8.29,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3672,observed_landslide,2011-06-29,25.5125,93.3613,20.83,75.23,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2253,observed_landslide,2010-08-15,25.31006,94.48265,10.62,28.36,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1108,observed_landslide,2009-08-20,24.9925,93.5,5.16,18.51,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9168,observed_landslide,2016-06-12,27.6438,93.871,23.76,42.42,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3560,observed_landslide,2011-05-31,24.8286,93.5935,15.72,45.38,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-587,observed_landslide,2008-06-15,27.2298,94.0989,1.5,64.37,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-8012,observed_landslide,2015-09-06,25.9703,91.8584,0.87,29.57,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7335,observed_landslide,2015-08-18,25.5145,90.2023,15.22,43.75,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-141,observed_landslide,2007-07-26,25.38,91.88,34.95,113.14,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3983,observed_landslide,2011-09-23,26.1548,91.7351,10.55,36.67,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-148,observed_landslide,2007-07-30,22.479,92.967,0.31,3.17,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1775,observed_landslide,2010-04-21,27.8965,96.1779,46.75,98.64,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3663,observed_landslide,2011-06-28,25.6682,94.1099,10.59,57.37,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7385,observed_landslide,2015-08-01,24.004,93.9815,5.31,82.66,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2575,observed_landslide,2010-10-09,25.5242,92.9914,26.53,110.95,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3840,observed_landslide,2011-07-25,24.6869,93.9157,2.86,6.69,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6015,observed_landslide,2014-05-08,27.9032,96.174,33.77,55.08,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3741,observed_landslide,2011-07-07,25.4191,94.1079,2.6,11.26,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2106,observed_landslide,2010-07-20,26.8716,94.9921,14.6,56.11,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9051,observed_landslide,2016-07-19,26.09748,91.87443,19.72,128.07,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-870,observed_landslide,2008-10-29,27.4,92.35,0.0,24.16,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3830,observed_landslide,2011-07-22,24.3527,94.3429,5.5,39.36,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4906,observed_landslide,2013-06-07,26.0977,94.7499,9.11,20.54,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3269,observed_landslide,2011-03-22,28.0791,96.5242,7.48,55.41,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6990,observed_landslide,2015-06-24,26.0319,94.5466,13.93,42.27,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6222,observed_landslide,2014-10-01,27.1249,93.7706,0.0,0.01,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9169,observed_landslide,2016-06-12,26.1677,94.2442,10.04,18.74,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4435,observed_landslide,2012-06-25,27.174,95.8011,36.02,76.5,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4313,observed_landslide,2012-04-08,28.4659,95.86,3.12,12.66,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2344,observed_landslide,2010-08-27,24.7505,93.4221,8.73,15.13,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7263,observed_landslide,2015-07-22,25.4477,94.0489,10.3,41.39,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5271,observed_landslide,2013-08-04,26.284,94.5808,5.53,15.66,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4424,observed_landslide,2012-06-20,26.149,91.7351,32.69,36.57,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3525,observed_landslide,2011-05-22,25.0672,93.4093,12.35,93.39,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7369,observed_landslide,2015-08-01,24.1988,94.1016,2.09,71.58,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4892,observed_landslide,2013-06-01,27.8776,94.25,10.89,21.72,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4377,observed_landslide,2012-06-02,26.1475,91.7356,12.72,43.71,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5430,observed_landslide,2013-09-01,24.9037,93.487,5.42,8.29,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7264,observed_landslide,2015-07-22,25.4538,93.9827,10.3,41.39,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5006,observed_landslide,2013-07-01,26.1147,94.3864,9.11,27.57,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9335,observed_landslide,2016-05-18,24.5202,92.7239,75.63,179.71,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7279,observed_landslide,2015-07-24,24.9818,93.5142,14.94,43.33,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6288,observed_landslide,2014-09-22,26.1985,91.7998,126.76,191.59,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5087,observed_landslide,2013-07-12,25.6269,94.1139,18.68,107.07,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-258,observed_landslide,2007-09-11,24.4279,94.0564,6.06,13.55,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5338,observed_landslide,2013-08-16,26.8727,94.9275,36.7,45.85,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2411,observed_landslide,2010-09-10,27.0011,93.7273,15.17,73.01,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6143,observed_landslide,2014-07-14,23.7327,92.7463,4.46,14.06,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9124,observed_landslide,2016-07-19,25.203,90.5573,39.27,219.59,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2282,observed_landslide,2010-08-19,26.1984,94.8158,13.74,29.82,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9338,observed_landslide,2016-05-18,24.4638,92.4943,75.63,179.71,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2421,observed_landslide,2010-09-13,23.75407,92.74129,11.41,19.1,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2249,observed_landslide,2010-08-14,26.0814,94.803,11.86,53.09,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-8901,observed_landslide,2016-07-10,25.7902,94.1318,14.38,23.03,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2283,observed_landslide,2010-08-19,24.8961,93.4957,8.39,19.28,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6016,observed_landslide,2014-05-09,24.8669,92.3576,43.71,124.37,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-215,observed_landslide,2007-08-28,25.7428,93.9136,3.08,14.24,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7780,observed_landslide,2015-08-26,23.3572,92.7878,2.74,4.43,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2281,observed_landslide,2010-08-19,25.6156,94.11603,10.84,27.29,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1996,observed_landslide,2010-06-17,26.4333,94.8833,2.62,54.18,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6283,observed_landslide,2014-09-22,26.1314,91.7548,126.76,191.59,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-8930,observed_landslide,2016-07-11,26.1699,94.4922,8.39,28.43,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-869,observed_landslide,2008-10-29,27.2333,94.1167,0.0,19.84,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-285,observed_landslide,2007-09-29,24.1293,92.6921,4.42,4.61,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3662,observed_landslide,2011-06-28,25.03562,94.01442,12.9,73.66,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5427,observed_landslide,2013-08-15,25.3833,94.1884,4.08,74.99,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-8339,observed_landslide,2015-09-23,26.1666,91.7042,61.13,106.92,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4905,observed_landslide,2013-06-07,26.0977,94.7031,9.11,20.54,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9186,observed_landslide,2016-07-25,25.48,94.1383,18.3,31.65,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5107,observed_landslide,2013-07-15,25.6269,94.1139,14.57,35.52,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7253,observed_landslide,2015-07-22,24.7979,92.9974,18.11,52.6,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6286,observed_landslide,2014-09-22,26.1044,91.7082,126.76,191.59,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-594,observed_landslide,2008-06-19,24.9336,93.8275,6.03,24.82,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5337,observed_landslide,2013-08-16,26.4205,94.9731,39.28,53.14,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3881,observed_landslide,2011-08-05,27.1034,93.6885,21.34,48.21,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3925,observed_landslide,2011-08-15,27.4888,93.0153,42.1,67.64,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7383,observed_landslide,2015-08-01,23.899,94.1434,2.09,71.58,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-8900,observed_landslide,2016-07-07,25.0118,94.3136,11.95,28.19,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4757,observed_landslide,2013-02-18,28.1193,95.1645,2.93,5.34,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7666,observed_landslide,2015-08-11,25.1019,93.3729,5.63,34.46,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2045,observed_landslide,2010-07-06,26.2363,94.8133,9.26,32.72,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7701,observed_landslide,2015-08-19,25.6278,94.1051,8.1,17.36,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2422,observed_landslide,2010-09-13,23.74183,92.71419,9.93,17.18,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6513,observed_landslide,2014-08-14,23.0137,91.7174,85.53,181.53,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2248,observed_landslide,2010-08-14,26.222,94.9152,11.86,53.09,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5268,observed_landslide,2013-08-04,26.0137,94.5163,5.78,14.93,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6106,observed_landslide,2014-06-26,26.1407,91.7645,14.23,20.69,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3965,observed_landslide,2011-09-06,24.808,93.117,22.29,30.58,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6969,observed_landslide,2015-06-16,25.5114,90.215,27.16,62.64,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2044,observed_landslide,2010-07-06,25.8877,94.7861,9.26,32.72,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2587,observed_landslide,2010-10-10,25.6623,94.1072,0.87,76.09,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-8684,observed_landslide,2016-07-07,25.9611,91.3681,24.29,49.8,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1596,observed_landslide,2010-03-27,24.7339,93.9161,11.35,12.42,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1771,observed_landslide,2010-04-20,26.1978,91.7665,33.21,123.36,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7364,observed_landslide,2015-07-31,24.819,94.3551,79.86,103.04,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6968,observed_landslide,2015-06-13,25.463,92.2121,32.26,105.13,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7373,observed_landslide,2015-08-01,24.9111,94.4759,4.9,104.34,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4570,observed_landslide,2012-09-19,27.8458,95.2253,62.91,108.4,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1935,observed_landslide,2010-06-03,23.8986,91.7599,40.65,82.29,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2577,observed_landslide,2010-10-09,25.5265,93.8673,26.82,107.81,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7276,observed_landslide,2015-07-25,26.1062,91.8717,11.76,44.78,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2576,observed_landslide,2010-10-09,25.4788,94.1399,23.12,99.99,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6293,observed_landslide,2014-10-20,25.5006,90.0896,0.0,0.07,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4858,observed_landslide,2013-05-11,26.1662,91.7138,38.98,109.25,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5269,observed_landslide,2013-08-04,25.8376,94.5234,5.78,14.93,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5270,observed_landslide,2013-08-04,26.0481,94.4619,5.78,14.93,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6284,observed_landslide,2014-09-22,26.1324,91.8342,126.76,191.59,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9251,observed_landslide,2016-07-28,25.8702,94.7844,28.36,51.51,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7699,observed_landslide,2015-08-19,26.0214,94.5224,14.28,30.55,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7664,observed_landslide,2015-08-11,24.7459,93.4251,5.97,40.38,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7589,observed_landslide,2015-08-19,25.2568,92.3825,35.06,81.02,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7887,observed_landslide,2015-08-16,27.8835,96.9262,7.42,24.99,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9404,observed_landslide,2016-05-01,28.0822,96.5316,6.31,22.57,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6287,observed_landslide,2014-09-22,26.1295,91.7056,126.76,191.59,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2304,observed_landslide,2010-08-21,25.5718,94.1211,5.7,25.64,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5273,observed_landslide,2013-08-04,26.1807,94.5497,5.78,14.93,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-8995,observed_landslide,2016-07-14,26.1963,91.8074,7.89,16.48,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2567,observed_landslide,2010-10-08,25.6633,94.4703,52.1,92.98,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6285,observed_landslide,2014-09-22,26.159,91.8178,126.76,191.59,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-868,observed_landslide,2008-10-29,26.3333,91.25,0.03,26.54,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5005,observed_landslide,2013-07-01,26.72,95.029,14.44,33.33,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3860,observed_landslide,2011-07-29,25.4192,94.108,4.21,9.26,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1127,observed_landslide,2009-08-27,25.1718,93.123,4.12,19.43,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5603,observed_landslide,2013-10-13,25.426,94.6024,0.02,0.04,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2042,observed_landslide,2010-07-06,26.0093,94.5238,9.14,35.75,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5442,observed_landslide,2013-09-02,27.1614,93.7525,40.7,70.95,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7933,observed_landslide,2015-09-01,26.1868,91.6739,8.4,82.12,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3637,observed_landslide,2011-06-21,25.51615,94.23412,8.32,18.31,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3837,observed_landslide,2011-07-24,26.5836,93.0038,2.3,44.38,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-220,observed_landslide,2007-08-31,25.1333,93.9667,1.28,4.27,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-212,observed_landslide,2007-08-26,25.5576,91.8506,40.07,55.66,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7372,observed_landslide,2015-07-31,25.0634,94.3415,79.86,103.04,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2570,observed_landslide,2010-10-08,24.837,93.9128,76.95,132.5,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3806,observed_landslide,2011-07-19,27.1032,93.6884,58.61,136.8,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2026,observed_landslide,2010-06-28,25.4916,91.2698,47.18,124.26,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-714,observed_landslide,2008-08-14,27.163,94.0,10.32,32.41,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6110,observed_landslide,2014-06-27,26.1619,91.7697,6.85,21.91,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-247,observed_landslide,2007-09-08,25.0604,93.9877,19.36,74.29,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4407,observed_landslide,2012-06-13,25.0951,92.3567,38.73,97.96,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3789,observed_landslide,2011-07-16,27.2743,92.9064,2.2,79.4,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6292,observed_landslide,2014-09-23,25.7238,89.9032,13.14,178.28,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-545,observed_landslide,2008-05-20,24.9849,92.8411,5.6,22.56,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7265,observed_landslide,2015-07-22,25.5007,93.9854,10.3,41.39,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2436,observed_landslide,2010-09-16,24.3069,93.125,11.4,30.38,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7727,observed_landslide,2015-08-20,25.6263,94.1057,8.68,20.24,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7334,observed_landslide,2015-08-18,28.1737,94.7596,25.29,66.26,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6200,observed_landslide,2014-08-17,27.0869,93.6086,4.65,43.69,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7778,observed_landslide,2015-08-26,23.8447,93.0514,3.95,11.51,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6290,observed_landslide,2014-09-23,25.5772,91.8666,73.98,252.28,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4408,observed_landslide,2012-06-13,25.5498,92.0757,27.68,87.41,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4403,observed_landslide,2012-06-10,24.8142,93.5444,5.93,7.31,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2140,observed_landslide,2010-07-25,25.0477,92.801,3.43,18.78,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2243,observed_landslide,2010-08-13,25.70224,94.0462,10.61,13.72,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9142,observed_landslide,2016-06-14,26.3185,94.5247,6.05,35.82,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6107,observed_landslide,2014-06-26,26.1844,91.7896,14.23,20.69,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-255,observed_landslide,2007-09-10,24.2451,94.0691,0.73,10.16,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7660,observed_landslide,2015-08-12,25.6237,94.1136,3.35,14.73,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7389,observed_landslide,2015-08-01,24.4072,94.0644,3.7,100.7,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2437,observed_landslide,2010-09-16,23.7527,92.694,7.76,34.33,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-731,observed_landslide,2008-08-19,26.138,94.25,29.74,62.14,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7371,observed_landslide,2015-08-01,23.9939,94.0573,5.31,82.66,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7923,observed_landslide,2015-09-01,26.49349,91.72138,10.67,74.71,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-760,observed_landslide,2008-08-29,25.67,94.1066,5.84,16.36,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2182,observed_landslide,2010-07-31,24.9356,93.8443,17.28,60.98,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1954,observed_landslide,2010-06-07,24.7543,93.5039,7.71,43.91,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6963,observed_landslide,2015-06-19,23.7131,92.7362,4.32,6.93,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5336,observed_landslide,2013-08-16,26.3897,94.9439,39.28,53.14,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7590,observed_landslide,2015-08-19,25.1416,92.3807,41.24,100.47,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1222,observed_landslide,2009-10-05,23.73479,92.72124,16.64,63.8,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-8222,observed_landslide,2016-06-22,26.1961,91.7825,19.78,46.18,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7706,observed_landslide,2015-08-19,25.0728,92.3636,41.24,100.47,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-8224,observed_landslide,2015-09-14,23.7313,92.7187,13.58,44.56,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4241,observed_landslide,2012-03-04,25.1604,93.6795,0.04,8.26,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1930,observed_landslide,2010-05-31,28.4298,95.8776,10.46,13.68,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9334,observed_landslide,2016-05-18,24.5204,92.7264,75.63,179.71,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-8237,observed_landslide,2016-07-01,27.0136,92.6351,7.67,13.51,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-585,observed_landslide,2008-06-14,27.0998,93.6287,42.4,85.43,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4859,observed_landslide,2013-05-11,26.1771,91.7599,38.98,109.25,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4436,observed_landslide,2012-06-25,26.9986,95.4993,36.02,76.5,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3916,observed_landslide,2011-08-13,25.7713,93.8067,9.88,16.2,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5250,observed_landslide,2013-08-01,27.8837,93.0515,9.91,35.1,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3738,observed_landslide,2011-07-06,24.8063,93.9482,2.82,30.15,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2426,observed_landslide,2010-09-13,22.7176,92.8416,5.13,13.96,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1084,observed_landslide,2009-08-12,27.7,92.8,17.32,32.27,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7266,observed_landslide,2015-07-22,25.5098,93.8794,10.3,41.39,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1129,observed_landslide,2009-08-30,24.8628,94.4182,4.61,5.06,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2166,observed_landslide,2010-07-29,24.9786,93.5027,19.68,36.42,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-213,observed_landslide,2007-08-26,25.2946,92.8339,13.28,16.62,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4426,observed_landslide,2012-06-22,26.1226,91.7162,43.46,79.73,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-8366,observed_landslide,2015-09-23,25.583,91.893,48.8,118.09,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1934,observed_landslide,2010-06-03,24.6005,92.3814,54.42,121.7,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7655,observed_landslide,2016-04-22,27.5799,91.8569,11.02,58.47,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9464,observed_landslide,2016-08-05,27.5754,91.9754,0.23,10.25,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-3912,observed_landslide,2011-08-12,27.44,92.2833,6.41,9.64,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5272,observed_landslide,2013-08-04,26.2083,94.5438,5.78,14.93,NASA_POWER_PRECTOTCORR_Daily
