sample_id,label,sample_type,data_pedigree,source,event_date,state,latitude,longitude,trigger,fatalities,dem_source,rainfall_source,soil_source,landcover_source,original_source_fields,elevation_m,slope_deg,aspect_deg,rainfall_24h_mm,rainfall_72h_mm,rainfall_surround_max_mm,soil_clay_pct,soil_sand_pct,soil_silt_pct,soil_bulk_density,soil_ph,soil_organic_carbon,lc_tree_cover,lc_builtup,saturation_pct,cohesion_kpa,split_target
GLC-REAL-587,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2008-06-15,Assam,27.2298,94.0989,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Lakhimpur district, Bihpuria, Assam', 'source_name': 'Telegraph India', 'source_link': 'http://www.telegraphindia.com/1080616/jsp/northeast/story_9416169.jsp'}",95.0,2.13,116.57,1.5,64.37,,,,,,,,,,,,TRAIN
GLC-REAL-8012,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2015-09-06,Meghalaya,25.9703,91.8584,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Umling, Meghalaya 793102, India', 'source_name': 'The Assam Tribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=sep0815/oth058'}",289.0,11.35,228.37,0.87,29.57,,,,,,,,,,,,TRAIN
GLC-REAL-7335,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2015-08-18,Meghalaya,25.5145,90.2023,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Tura Civil Hospital', 'source_name': 'Shillong Times', 'source_link': 'http://www.theshillongtimes.com/2015/08/20/child-washed-away-in-tura/'}",314.0,10.22,56.31,15.22,43.75,,,,,,,,,,,,TRAIN
GLC-REAL-141,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2007-07-26,Meghalaya,25.38,91.88,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Singtam', 'source_name': 'thestatesman.net', 'source_link': 'http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=164069'}",1307.0,40.32,199.5,34.95,113.14,,,,,,,,,,,,TRAIN
GLC-REAL-3983,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2011-09-23,Assam,26.1548,91.7351,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Maighuli, Guwahati, Meghalaya', 'source_name': 'nbtvlive'}",57.0,2.13,243.43,10.55,36.67,,,,,,,,,,,,TRAIN
GLC-REAL-1775,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-04-21,Arunachal Pradesh,27.8965,96.1779,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Arunachal Pradesh ', 'source_name': 'gsi.gov', 'source_link': 'http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL'}",209.0,6.38,26.57,46.75,98.64,,,,,,,,,,,,TRAIN
GLC-REAL-3663,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2011-06-28,Nagaland,25.6682,94.1099,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Ruzapfu valley, Kikruma Village, Phek District, Nagaland', 'source_name': 'morungexpress', 'source_link': 'http://www.morungexpress.com/local/67492.html'}",1437.0,8.94,147.99,10.59,57.37,,,,,,,,,,,,TRAIN
GLC-REAL-2575,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-10-09,Assam,25.5242,92.9914,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'road between Haflong and Lanka, Assam', 'source_name': 'dnaindia', 'source_link': 'http://www.dnaindia.com/india/report_one-dead-road-and-rail-communication-disrupted-due-to-rains-in-assam_1450237'}",159.0,16.43,137.29,26.53,110.95,,,,,,,,,,,,TRAIN
GLC-REAL-6015,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2014-05-08,Arunachal Pradesh,27.9032,96.174,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Lohit District of Arunachal Pradesh', 'source_name': 'Business Standard', 'source_link': 'http://www.business-standard.com/article/pti-stories/communication-to-tezu-snapped-due-to-landslide-114051000401_1.html'}",208.0,0.95,270.0,33.77,55.08,,,,,,,,,,,,TRAIN
GLC-REAL-2106,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-07-20,Nagaland,26.8716,94.9921,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland', 'source_name': 'nagalandpost', 'source_link': 'http://www.nagalandpost.com/ShowStory.aspx?npoststoryiden=UzEwMjg5OTY%3D-LvoR7D2GhjI%3D'}",284.0,10.05,228.81,14.6,56.11,,,,,,,,,,,,TRAIN
GLC-REAL-9051,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2016-07-19,Meghalaya,26.09748,91.87443,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': '12th Mile area at Jorabat, Meghalaya, India', 'source_name': 'NELIVE (North East Live)', 'source_link': 'http://www.nelive.in/assam/news/woman-injured-landslide'}",188.0,33.84,55.12,19.72,128.07,,,,,,,,,,,,TRAIN
GLC-REAL-870,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2008-10-29,Arunachal Pradesh,27.4,92.35,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'West Kameng, Arunachal Pradesh', 'source_name': 'sindhtoday', 'source_link': 'http://www.sindhtoday.net/south-asia/32058.htm'}",2624.0,27.34,20.77,0.0,24.16,,,,,,,,,,,,TRAIN
GLC-REAL-4906,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-06-07,Nagaland,26.0977,94.7499,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Helipong-Chessore Road, Nagaland', 'source_name': 'www.nagalandpost.com', 'source_link': 'http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA0NjAwNw%3D%3D-%2FtfIAOw1uMk%3D'}",1553.0,3.44,56.31,9.11,20.54,,,,,,,,,,,,TRAIN
GLC-REAL-3269,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2011-03-22,Arunachal Pradesh,28.0791,96.5242,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh', 'source_name': 'articles.timesofindia', 'source_link': 'http://articles.timesofindia.indiatimes.com/2011-03-23/guwahati/29178165_1_road-links-rainfall-source'}",556.0,25.51,257.91,7.48,55.41,,,,,,,,,,,,TRAIN
GLC-REAL-6990,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2015-06-24,Nagaland,26.0319,94.5466,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'New Land (""""New Colony"""")', 'source_name': 'Nagaland Post', 'source_link': 'http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA4MjI0OA%3D%3D'}",1557.0,40.14,288.43,13.93,42.27,,,,,,,,,,,,TRAIN
GLC-REAL-6222,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2014-10-01,Arunachal Pradesh,27.1249,93.7706,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Karsingsa block point', 'source_name': 'The Assam Tribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=oct0214/oth052'}",164.0,27.37,93.69,0.0,0.01,,,,,,,,,,,,TRAIN
GLC-REAL-9169,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2016-06-12,Nagaland,26.1677,94.2442,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India', 'source_name': 'Nagaland Post', 'source_link': 'http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA5ODM0Mg%3D%3D'}",777.0,14.96,356.42,10.04,18.74,,,,,,,,,,,,TRAIN
GLC-REAL-4435,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2012-06-25,Arunachal Pradesh,27.174,95.8011,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Tirap , Arunachal Pradesh', 'source_name': 'articles.timesofindia', 'source_link': 'http://articles.timesofindia.indiatimes.com/2012-07-04/guwahati/32536229_1_massive-landslides-landslide-hit-road-blockade'}",296.0,0.95,0.0,36.02,76.5,,,,,,,,,,,,TRAIN
GLC-REAL-4313,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2012-04-08,Arunachal Pradesh,28.4659,95.86,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Endulin Nallah, Mayodia, 17-camp, 83-camp', 'source_name': 'timesofindia.indiatimes', 'source_link': 'http://timesofindia.indiatimes.com/Landslides-snap-road-links-in-Dibang-Valley/articleshow/12601499.cms'}",1063.0,27.91,114.15,3.12,12.66,,,,,,,,,,,,TRAIN
GLC-REAL-5271,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-08-04,Nagaland,26.284,94.5808,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Nanga, Nagaland', 'source_name': 'www.nagalandpost.com', 'source_link': 'http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDA0MjY4Nw%3D%3D-bSp8jh3okxw%3D'}",726.0,25.85,93.95,5.53,15.66,,,,,,,,,,,,TRAIN
GLC-REAL-4424,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2012-06-20,Assam,26.149,91.7351,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Lalunggaon, Guwahati,  Assam', 'source_name': 'twocircles.net', 'source_link': 'http://twocircles.net/2012jun22/landslide_kills_three_assam.html'}",53.0,2.86,90.0,32.69,36.57,,,,,,,,,,,,TRAIN
GLC-REAL-4892,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-06-01,Arunachal Pradesh,27.8776,94.25,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Upper Subansiri', 'source_name': 'articles.timesofindia.indiatimes.com', 'source_link': 'http://articles.timesofindia.indiatimes.com/2013-07-28/guwahati/40848148_1_daporijo-upper-subansiri-landslides'}",961.0,40.77,228.92,10.89,21.72,,,,,,,,,,,,TRAIN
GLC-REAL-4377,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2012-06-02,Assam,26.1475,91.7356,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Guwahati, Assam', 'source_name': 'ibnlive.in', 'source_link': 'http://ibnlive.in.com/generalnewsfeed/news/barrak-valley-cut-off-due-to-heavy-landslides/1007155.html'}",54.0,0.0,0.0,12.72,43.71,,,,,,,,,,,,TRAIN
GLC-REAL-5006,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-07-01,Nagaland,26.1147,94.3864,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road', 'source_name': 'www.nagalandpost.com', 'source_link': 'http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDA0MDQ4MQ%3D%3D-gEvw8J4DIOI%3D'}",355.0,5.79,350.54,9.11,27.57,,,,,,,,,,,,TRAIN
GLC-REAL-9335,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2016-05-18,Assam,24.5202,92.7239,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Bilaipur, Hailakandi district, Assam, India', 'source_name': 'Indian Express', 'source_link': 'http://indianexpress.com/article/india/india-news-india/at-least-10-killed-in-landslides-in-assam-rescue-operations-underway-2806810/'}",43.0,0.95,90.0,75.63,179.71,,,,,,,,,,,,TRAIN
GLC-REAL-6288,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2014-09-22,Assam,26.1985,91.7998,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Noonmati', 'source_name': 'Assam Tribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=sep2414/at051'}",81.0,8.58,276.34,126.76,191.59,,,,,,,,,,,,TRAIN
GLC-REAL-5087,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-07-12,Nagaland,25.6269,94.1139,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'National Highway 29 Near Phesama Village, Nagaland', 'source_name': 'www.thehindubusinessline.com', 'source_link': 'http://www.thehindubusinessline.com/news/states/landslides-disrupt-vehicular-movement-on-nh29/article4912110.ece'}",1572.0,14.27,121.61,18.68,107.07,,,,,,,,,,,,TRAIN
GLC-REAL-5338,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-08-16,Assam,26.8727,94.9275,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Longlem, Nagaland', 'source_name': 'www.nagalandpost.com', 'source_link': 'http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA0NDE4MQ%3D%3D-6hneqQH1frg%3D'}",134.0,2.13,26.57,36.7,45.85,,,,,,,,,,,,TRAIN
GLC-REAL-2411,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-09-10,Arunachal Pradesh,27.0011,93.7273,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province', 'source_name': 'timesofindia.indiatimes', 'source_link': 'http://timesofindia.indiatimes.com/india/13-killed-as-rains-wrack-havoc-in-north-and-eastern-India-/articleshow/6532367.cms'}",106.0,3.44,326.31,15.17,73.01,,,,,,,,,,,,TRAIN
GLC-REAL-9124,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2016-07-19,Meghalaya,25.203,90.5573,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India', 'source_name': 'Business Standard', 'source_link': 'http://www.business-standard.com/article/news-ani/over-hundred-homes-displaced-due-to-landslide-in-meghalaya-116072100406_1.html'}",146.0,17.75,308.66,39.27,219.59,,,,,,,,,,,,TRAIN
GLC-REAL-2282,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-08-19,Nagaland,26.1984,94.8158,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland', 'source_name': 'indiablooms', 'source_link': 'http://www.indiablooms.com/EnvironmentDetailsPage/environmentDetails190810a.php'}",1881.0,29.21,63.43,13.74,29.82,,,,,,,,,,,,TRAIN
GLC-REAL-9338,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2016-05-18,Assam,24.4638,92.4943,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Sonachirra, Karimganj district, Assam, India', 'source_name': 'Indian Express', 'source_link': 'http://indianexpress.com/article/india/india-news-india/at-least-10-killed-in-landslides-in-assam-rescue-operations-underway-2806810/'}",101.0,11.98,45.0,75.63,179.71,,,,,,,,,,,,TRAIN
GLC-REAL-2249,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-08-14,Nagaland,26.0814,94.803,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Kiphire-Tuensang rd, Nagaland', 'source_name': 'morungexpress', 'source_link': 'http://www.morungexpress.com/frontpage/53726.html'}",950.0,36.04,110.1,11.86,53.09,,,,,,,,,,,,TRAIN
