sample_id,date,lat,lon,elevation_m,slope_deg,aspect_deg,state,district,corridor,split_target,geology,trigger,label,source,sample_type
LS-POS-0014,2022-09-15,27.4789,88.3144,784.7,34.95,280.3,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,Prolonged Downpour,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0015,2018-06-14,27.5126,88.2933,2212.0,40.94,118.5,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,Monsoon Cloudburst,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0016,2018-06-14,27.4034,88.2003,1267.0,35.31,77.4,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,Prolonged Downpour,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0017,2022-05-18,27.1863,88.6715,1215.6,40.45,113.6,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Monsoon Cloudburst,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0018,2018-07-22,27.1228,88.5482,1896.5,31.55,156.0,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,Monsoon Cloudburst,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0019,2019-07-12,26.9731,88.3725,1760.1,44.34,110.4,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Prolonged Downpour,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0020,2020-08-11,27.4205,88.5808,1065.9,45.48,265.4,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Prolonged Downpour,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0021,2022-07-19,27.5088,88.2754,1539.3,44.7,237.0,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,High Intensity Rain,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0022,2022-06-18,27.5167,88.3743,818.3,50.57,294.7,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Monsoon Cloudburst,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0023,2018-06-14,27.5641,88.329,1805.0,47.61,70.1,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Monsoon Cloudburst,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0024,2018-06-14,27.5781,88.6502,1757.9,36.14,218.3,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,High Intensity Rain,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0025,2018-08-18,27.0089,88.2808,2222.5,42.55,307.9,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Prolonged Downpour,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0026,2018-06-14,27.1487,88.3527,1499.8,38.76,178.4,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,Monsoon Cloudburst,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0027,2021-07-28,27.0752,88.3832,1952.3,45.3,204.3,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,High Intensity Rain,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0028,2021-08-14,27.6352,88.4434,2235.7,38.43,178.0,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,Monsoon Cloudburst,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0029,2021-07-28,27.0867,88.5612,1141.4,28.58,292.0,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Monsoon Cloudburst,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0030,2018-06-14,27.2091,88.2077,2274.6,38.28,65.3,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,High Intensity Rain,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0031,2018-08-18,27.164,88.2955,1119.8,39.65,198.9,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,Prolonged Downpour,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0032,2022-05-18,27.018,88.5075,2382.6,31.36,274.1,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,Prolonged Downpour,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0033,2021-06-25,27.0456,88.5545,1617.4,35.12,67.0,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,Prolonged Downpour,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0034,2018-07-22,26.9536,88.5139,990.0,29.7,70.4,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,High Intensity Rain,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0035,2022-05-18,27.3548,88.218,1464.8,41.02,55.1,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,Prolonged Downpour,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0036,2018-09-02,27.5258,88.3801,872.4,40.53,272.3,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Monsoon Cloudburst,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0037,2022-07-19,27.0861,88.4057,1874.1,31.32,259.7,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,Prolonged Downpour,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0038,2020-06-25,27.1396,88.4195,787.3,28.61,230.9,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,High Intensity Rain,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0039,2018-06-14,26.9907,88.6576,1424.1,33.75,302.8,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Monsoon Cloudburst,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0040,2021-07-28,27.4665,88.4772,1720.5,38.07,69.8,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,High Intensity Rain,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0041,2018-09-02,27.0159,88.3557,2364.1,32.21,91.8,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,Monsoon Cloudburst,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0042,2022-07-19,27.2537,88.3993,1727.7,43.24,180.8,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,High Intensity Rain,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0043,2020-09-22,27.5495,88.5293,935.1,29.69,149.8,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,High Intensity Rain,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0044,2020-07-10,27.4003,88.4291,1604.8,50.6,100.8,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,Monsoon Cloudburst,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0045,2019-09-15,27.1418,88.3073,1310.2,28.94,149.1,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,High Intensity Rain,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0046,2020-08-11,27.4271,88.3703,1106.2,39.9,281.9,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,Prolonged Downpour,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0047,2018-08-18,27.4645,88.6017,1143.6,32.26,156.4,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,High Intensity Rain,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0048,2021-06-25,27.2104,88.5882,1246.4,50.34,244.8,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Monsoon Cloudburst,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0049,2022-07-19,27.1168,88.3889,1585.1,39.92,150.1,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,Monsoon Cloudburst,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0050,2021-09-02,26.9576,88.6527,809.8,35.66,166.1,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,Prolonged Downpour,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0051,2020-07-10,27.1552,88.3643,1826.9,46.06,308.0,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,Monsoon Cloudburst,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0052,2020-06-25,27.6472,88.2279,1939.8,41.1,250.6,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,High Intensity Rain,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0053,2018-07-22,27.3828,88.2506,797.2,44.82,67.0,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,Prolonged Downpour,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0054,2021-06-25,27.0094,88.6933,1305.0,36.9,248.4,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,High Intensity Rain,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0055,2019-08-08,27.2134,88.2418,2010.0,41.4,162.3,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,Prolonged Downpour,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0056,2018-06-14,27.1276,88.4026,1650.1,45.78,228.9,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,Monsoon Cloudburst,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0057,2020-09-22,27.1163,88.4001,1486.0,29.99,309.0,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,Monsoon Cloudburst,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0058,2022-08-05,27.3392,88.3613,726.0,50.19,65.4,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,High Intensity Rain,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0059,2020-08-11,27.0664,88.3084,1165.4,51.9,120.9,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,High Intensity Rain,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0060,2022-06-18,27.6153,88.6451,1447.4,42.88,116.8,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Prolonged Downpour,1,NASA_GLC,POSITIVE_LANDSLIDE
NON-LS-BG-0061,2021-06-25,27.2022,88.33,1263.3,26.76,246.5,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0062,2021-02-10,27.0638,88.6555,1869.0,15.35,335.8,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0063,2018-02-14,27.5562,88.2226,563.2,7.89,135.6,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0064,2018-06-14,27.4747,88.3965,1879.8,10.4,4.9,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0065,2022-09-15,27.0028,88.5459,1396.3,42.94,340.1,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0066,2022-03-30,27.5448,88.3237,1258.9,4.68,316.2,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0067,2018-08-18,27.4799,88.2234,960.6,3.29,187.3,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0068,2021-08-14,27.5465,88.476,1439.9,35.08,151.4,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0069,2018-07-22,27.4993,88.5197,1840.3,14.74,229.2,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0070,2022-03-30,27.3384,88.2455,1711.3,10.12,224.0,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0071,2019-06-28,27.5537,88.6748,761.2,41.64,352.8,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0072,2021-09-02,27.2948,88.3644,1558.8,47.49,54.7,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0073,2022-06-18,27.0472,88.5204,818.3,37.39,216.7,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0074,2020-06-25,27.1067,88.6109,1085.9,36.53,128.2,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0075,2021-08-14,27.576,88.2644,1061.4,26.66,184.2,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0076,2018-07-22,27.6404,88.4683,2035.4,6.07,269.1,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0077,2022-06-18,26.9757,88.3262,1689.9,31.17,161.1,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0078,2019-08-08,27.3228,88.3212,961.6,36.5,32.1,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0079,2018-04-10,27.3247,88.3166,1082.4,9.16,31.3,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0080,2019-07-12,27.326,88.4934,1742.5,40.62,323.9,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0081,2022-09-15,27.3753,88.3222,1337.1,43.49,55.0,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0082,2019-09-15,27.1222,88.2803,826.0,33.76,250.9,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0083,2022-07-19,27.6481,88.6483,1464.6,14.93,295.5,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0084,2022-08-05,27.2836,88.6193,856.3,26.52,87.3,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0085,2022-06-18,27.152,88.4906,773.2,31.63,163.5,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0086,2020-06-25,27.334,88.4745,850.8,45.92,273.7,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0087,2021-11-05,27.3669,88.4358,1195.4,7.54,147.1,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0088,2021-11-05,27.6031,88.6955,856.2,7.93,303.1,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0089,2021-04-20,27.0478,88.5976,850.7,5.13,228.2,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0090,2021-08-14,27.5855,88.3581,1484.8,29.91,207.9,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0091,2019-07-12,27.1988,88.3957,1392.2,35.4,119.8,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0092,2021-04-20,27.4614,88.5469,793.4,14.42,283.9,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0093,2019-03-25,27.0562,88.3559,927.5,12.67,315.6,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0094,2019-09-15,27.1895,88.6106,701.4,46.42,54.0,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0095,2020-08-11,27.454,88.5206,1658.1,25.57,345.3,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0096,2020-04-15,27.1898,88.3137,1214.7,6.74,182.1,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0097,2018-02-14,27.5605,88.6661,1446.8,12.06,207.5,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0098,2019-06-28,27.3747,88.4121,1727.8,38.81,354.5,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0099,2022-10-25,27.5372,88.2623,2030.2,14.31,19.7,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0100,2019-12-05,27.1846,88.6014,527.6,7.34,124.7,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0101,2019-08-08,27.1929,88.5688,1261.6,46.85,59.6,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0102,2020-11-12,27.4963,88.3388,881.0,5.76,53.5,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0103,2022-07-19,27.2402,88.2427,2154.9,9.53,75.6,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0104,2022-07-19,27.5786,88.3026,832.7,3.48,163.2,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0105,2019-08-08,27.3171,88.4204,1177.3,30.3,271.2,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0106,2022-01-15,27.1406,88.6487,1383.6,13.41,146.9,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0107,2022-07-19,27.3362,88.3269,841.6,9.57,235.0,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0108,2019-06-28,27.1167,88.2497,918.8,37.62,50.8,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0109,2022-01-15,27.2345,88.362,662.6,11.23,315.5,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0110,2018-11-20,27.4,88.552,2013.4,11.12,212.5,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0111,2022-08-05,27.1376,88.5121,1191.4,45.91,350.8,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0112,2021-07-28,27.4958,88.2571,1447.9,28.06,267.0,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
NON-LS-BG-0113,2021-06-25,27.4392,88.4013,877.6,11.39,248.8,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Terrain),0,STABLE_REFERENCE,BACKGROUND_STABLE
NON-LS-BG-0114,2019-06-28,27.4282,88.6113,1388.6,37.04,234.5,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,None (Stable Steep Terrain),0,STABLE_REFERENCE,STEEP_STABLE
