sample_id,date,lat,lon,rainfall_24h_mm,rainfall_72h_mm,rainfall_surround_max_mm,rainfall_source,rainfall_data_pedigree,rainfall_is_missing
LS-POS-0056,2018-06-14,27.1276,88.4026,11.92,35.72,17.26,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0057,2020-09-22,27.1163,88.4001,59.34,111.13,77.14,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0058,2022-08-05,27.3392,88.3613,10.8,30.06,14.53,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0059,2020-08-11,27.0664,88.3084,20.66,66.13,31.96,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0060,2022-06-18,27.6153,88.6451,17.92,63.74,30.81,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0061,2021-06-25,27.2022,88.33,9.54,30.14,14.57,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0062,2021-02-10,27.0638,88.6555,0.0,0.0,0.0,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0063,2018-02-14,27.5562,88.2226,3.56,3.71,4.63,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0064,2018-06-14,27.4747,88.3965,6.71,25.1,12.13,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0065,2022-09-15,27.0028,88.5459,6.6,43.84,21.19,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0066,2022-03-30,27.5448,88.3237,3.94,5.17,5.12,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0067,2018-08-18,27.4799,88.2234,4.26,13.06,6.31,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0068,2021-08-14,27.5465,88.476,8.72,28.77,13.91,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0069,2018-07-22,27.4993,88.5197,5.04,21.43,10.36,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0070,2022-03-30,27.3384,88.2455,3.94,5.17,5.12,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0071,2019-06-28,27.5537,88.6748,4.82,32.26,15.59,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0072,2021-09-02,27.2948,88.3644,24.04,39.25,31.25,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0073,2022-06-18,27.0472,88.5204,36.25,121.62,58.78,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0074,2020-06-25,27.1067,88.6109,55.49,112.8,72.14,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0075,2021-08-14,27.576,88.2644,9.96,29.51,14.26,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0076,2018-07-22,27.6404,88.4683,5.04,21.43,10.36,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0077,2022-06-18,26.9757,88.3262,31.37,110.98,53.64,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0078,2019-08-08,27.3228,88.3212,8.87,48.15,23.27,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0079,2018-04-10,27.3247,88.3166,2.43,8.48,4.1,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0080,2019-07-12,27.326,88.4934,35.34,71.04,45.94,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0081,2022-09-15,27.3753,88.3222,5.77,28.07,13.57,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0082,2019-09-15,27.1222,88.2803,6.02,41.53,20.07,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0083,2022-07-19,27.6481,88.6483,10.52,18.56,13.68,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0084,2022-08-05,27.2836,88.6193,11.34,31.7,15.32,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0085,2022-06-18,27.152,88.4906,36.25,121.62,58.78,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0086,2020-06-25,27.334,88.4745,48.66,97.12,63.26,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0087,2021-11-05,27.3669,88.4358,0.0,0.0,0.0,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0088,2021-11-05,27.6031,88.6955,0.0,0.0,0.0,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0089,2021-04-20,27.0478,88.5976,0.44,27.08,13.09,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0090,2021-08-14,27.5855,88.3581,9.96,29.51,14.26,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0091,2019-07-12,27.1988,88.3957,67.38,159.53,87.59,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0092,2021-04-20,27.4614,88.5469,0.19,24.97,12.07,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0093,2019-03-25,27.0562,88.3559,0.47,0.94,0.61,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0094,2019-09-15,27.1895,88.6106,7.94,56.17,27.15,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0095,2020-08-11,27.454,88.5206,14.35,44.08,21.31,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0096,2020-04-15,27.1898,88.3137,3.26,3.86,4.24,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0097,2018-02-14,27.5605,88.6661,4.04,4.04,5.25,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0098,2019-06-28,27.3747,88.4121,2.95,29.42,14.22,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0099,2022-10-25,27.5372,88.2623,0.36,0.49,0.47,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0100,2019-12-05,27.1846,88.6014,0.0,0.0,0.0,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0101,2019-08-08,27.1929,88.5688,13.67,68.68,33.2,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0102,2020-11-12,27.4963,88.3388,0.0,0.0,0.0,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0103,2022-07-19,27.2402,88.2427,16.2,26.18,21.06,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0104,2022-07-19,27.5786,88.3026,11.66,19.18,15.16,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0105,2019-08-08,27.3171,88.4204,8.87,48.15,23.27,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0106,2022-01-15,27.1406,88.6487,0.0,0.8,0.39,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0107,2022-07-19,27.3362,88.3269,11.66,19.18,15.16,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0108,2019-06-28,27.1167,88.2497,5.74,33.61,16.24,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0109,2022-01-15,27.2345,88.362,0.0,0.73,0.35,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0110,2018-11-20,27.4,88.552,0.0,0.14,0.07,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0111,2022-08-05,27.1376,88.5121,16.44,42.6,21.37,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0112,2021-07-28,27.4958,88.2571,11.75,42.99,20.78,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0113,2021-06-25,27.4392,88.4013,6.21,21.38,10.33,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0114,2019-06-28,27.4282,88.6113,4.82,32.26,15.59,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0115,2020-04-15,27.5308,88.3032,0.77,1.32,1.0,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0116,2018-02-14,27.3513,88.6191,4.04,4.04,5.25,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0117,2020-04-15,27.3722,88.3227,0.77,1.32,1.0,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0118,2022-08-05,27.2832,88.5318,11.34,31.7,15.32,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0119,2020-06-25,27.5391,88.6232,48.66,97.12,63.26,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0120,2020-09-22,27.4597,88.4477,25.65,52.33,33.34,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0121,2020-07-10,25.2589,92.0607,116.96,215.25,152.05,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0122,2019-06-28,25.3585,91.5824,59.09,265.17,128.17,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0123,2021-08-14,25.4897,91.7372,65.42,164.41,85.05,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0124,2019-08-08,25.3853,92.4494,16.02,22.16,20.83,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0125,2020-07-10,25.5198,92.4225,75.28,134.17,97.86,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0126,2020-09-22,25.4101,91.8465,92.41,145.69,120.13,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0127,2018-07-22,25.4716,92.0115,30.97,57.64,40.26,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0128,2022-08-05,25.498,91.5202,28.24,60.89,36.71,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0129,2019-08-08,25.1854,91.5357,16.28,34.11,21.16,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0130,2021-09-02,25.4429,91.5032,6.75,17.09,8.78,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0131,2019-06-28,25.5451,91.9064,59.09,265.17,128.17,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0132,2022-08-05,25.317,92.3352,13.29,39.88,19.28,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0133,2020-06-25,25.3106,92.2959,51.23,116.39,66.6,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0134,2022-05-18,25.4618,91.8326,52.16,230.66,111.49,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0135,2021-08-14,25.3085,92.2203,36.29,107.09,51.76,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0136,2018-07-22,25.508,92.3171,18.12,35.47,23.56,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0137,2021-09-02,25.4738,92.1225,6.52,16.73,8.48,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0138,2022-07-19,25.1824,91.7092,33.53,114.16,55.18,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0139,2021-09-02,25.2891,92.1441,6.52,16.73,8.48,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0140,2021-06-25,25.4848,92.1626,28.41,94.62,45.73,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0141,2018-09-02,25.1617,92.2845,14.25,76.42,36.94,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0142,2019-09-15,25.4527,91.7458,12.61,134.6,65.06,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0143,2018-07-22,25.4036,92.013,30.97,57.64,40.26,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0144,2022-05-18,25.403,92.3854,28.63,156.13,75.46,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0145,2022-08-05,25.2884,92.0899,26.77,59.78,34.8,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0146,2018-07-22,25.1598,91.521,47.23,70.61,61.4,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0147,2022-08-05,25.5488,91.9049,26.77,59.78,34.8,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0148,2021-09-02,25.4591,91.7186,6.52,16.73,8.48,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0149,2018-08-18,25.5358,92.2221,0.44,35.71,17.26,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0150,2022-09-15,25.4107,91.8501,32.18,96.32,46.55,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0151,2021-07-28,25.3315,92.0038,4.38,11.71,5.69,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0152,2022-09-15,25.1505,92.0684,36.17,144.33,69.76,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0153,2021-08-14,25.469,91.7948,65.42,164.41,85.05,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0154,2020-06-25,25.2667,92.1602,88.25,191.72,114.73,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0155,2018-06-14,25.5447,91.6354,64.89,212.95,102.93,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0156,2019-08-08,25.1851,91.8331,15.63,33.13,20.32,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0157,2019-07-12,25.4273,92.2804,44.89,186.35,90.07,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0158,2019-08-08,25.3966,92.0823,11.28,26.23,14.66,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0159,2020-08-11,25.3712,92.0676,29.26,67.85,38.04,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0160,2021-06-25,25.3873,92.1178,28.41,94.62,45.73,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0161,2021-02-10,25.3493,92.0276,0.0,0.0,0.0,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0162,2021-02-10,25.2382,91.8975,0.0,0.0,0.0,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0163,2020-06-25,25.3202,91.8286,88.25,191.72,114.73,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0164,2022-07-19,25.4401,91.9623,24.7,72.07,34.83,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0165,2019-01-18,25.2937,91.8647,0.0,0.0,0.0,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0166,2021-08-14,25.2219,91.7257,89.22,197.47,115.99,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0167,2018-06-14,25.1881,92.1195,80.83,247.52,119.63,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0168,2020-07-10,25.2023,92.4213,49.06,100.0,63.78,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0169,2022-08-05,25.4178,91.6385,26.77,59.78,34.8,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0170,2022-08-05,25.3922,91.8389,26.77,59.78,34.8,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0171,2022-09-15,25.1728,92.0046,36.17,144.33,69.76,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0172,2018-07-22,25.1913,92.0554,49.16,72.37,63.91,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0173,2021-06-25,25.5392,92.0511,28.41,94.62,45.73,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0174,2019-06-28,25.5259,92.1963,35.04,166.51,80.48,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0175,2019-09-15,25.2521,92.1286,12.61,134.6,65.06,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0176,2022-03-30,25.4574,91.6075,5.95,11.39,7.74,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0177,2020-11-12,25.4105,91.6013,0.0,0.0,0.0,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0178,2019-01-18,25.451,91.586,0.0,0.0,0.0,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0179,2019-08-08,25.4731,92.2242,16.02,22.16,20.83,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0180,2022-05-18,25.2798,91.8481,52.16,230.66,111.49,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0181,2018-04-10,25.2174,92.1104,12.77,36.81,17.79,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0182,2021-08-14,25.1603,91.8242,89.22,197.47,115.99,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0183,2021-09-02,25.3698,92.2095,6.9,15.53,8.97,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0184,2018-07-22,25.5092,91.7313,30.97,57.64,40.26,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0185,2019-08-08,25.1859,92.1818,15.63,33.13,20.32,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
NON-LS-BG-0186,2018-09-02,25.2226,91.9989,30.33,98.78,47.74,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
